SARS	 coronaviruses	 Considering the great animal health and economic impact of IBV as well as the recent emergence of novel coronaviruses such as SARS-coronavirus, it is important to investigate the role of wildlife reservoirs in CoV infection biology and epidemiology.	 coronaviruses such as SARS	 causative_agent_of	no
tick-borne encephalitis	 viruses	 Two kinds of them are mosquito-borne viruses, namely Japanese encephalitis virus and dengue virus, which lead to Japanese encephalitis, and dengue fever/dengue hemorrhagic fever respectively; the other two are tick-borne viruses, namely tick-borne encephalitis virus and Crimean-Congo hemorrhagic fever virus (also known as Xinjiang hemorrhagic fever virus), which contribute to tick-borne encephalitis and Xinjiang hemorrhagic fever respectively.	 viruses  namely Japanese encephalitis virus and dengue virus, which lead to Japanese encephalitis, and dengue fever/dengue hemorrhagic fever respectively; the other two are tick-borne viruses, namely tick-borne encephalitis	 causative_agent_of	no
T4	 epidural abscess	 We treated a long level (T4-L1) epidural abscess in a diabetic patient who had to undergo emergent long level decompression and drainage due to complete paralysis of the lower extremities and progression of neurologic deficit toward the upper thoracic level.	T4 -L1)  epidural abscess	 	no_rel
AIDS	 3TC	 The main objective of the current study is to monitor the auditory status in a group of adults with AIDS, receiving Highly Active Antiretroviral Therapy (HAART) (3TC -lamivudine, D4T – stavudine, and efavirenz) in a hospital outpatient clinic in Gauteng.	AIDS , receiving Highly Active Antiretroviral Therapy (HAART) ( 3TC	 may_treat	yes
TB	 BCG	 Sera of immunized animals showed high IgG response and strong cross-reactivity against different MTB antigens.These results showed that BCG PLs could be potential vaccine candidates against TB.	 BCG PLs could be potential vaccine candidates against TB	 may_prevent	yes
antibody	 RCC	 Bevacizumab, a monoclonal antibody directed against the ligand, VEGF, has shown activity against RCC as a single agent in patients who had failed prior cytokine therapy and as first line therapy in combination with interferon.	antibody  directed against the ligand, VEGF, has shown activity against  RCC	 	no_rel
CCl4	 cirrhosis	 The expression and localization of synoviolin in the liver were analyzed in CCl4-induced hepatic injury models and human cirrhosis tissues.	CCl4 -induced hepatic injury models and human  cirrhosis	 	no_rel
ADHD	 methylphenidate HCL	 The objective of this study was to evaluate the efficacy and safety of methylphenidate HCL OROS extended-release (OROS-MPH) among children with attention deficit hyperactivity disorder (ADHD) who had been previously treated with methylphenidate HCL immediate-release (MPH-IR).	 methylphenidate HCL OROS extended-release (OROS-MPH) among children with attention deficit hyperactivity disorder (ADHD	 may_treat	yes
rheumatoid arthritis	 anakinra	 To assess if biological agents, ie rituximab, abatacept and anakinra increase the risk of serious infections in patients with rheumatoid arthritis in published randomised controlled trials.	 anakinra increase the risk of serious infections in patients with rheumatoid arthritis	 may_treat	yes
Secondary	 alemtuzumab	 Secondary cultures was performed using CD34+ cells isolated at 35 days from primary cultures and further cultured in StemSpan™ SFEM medium for another 14 days to confirm the long term effect of alemtuzumab in liquid cultures.	Secondary  cultures was performed using CD34+ cells isolated at 35 days from primary cultures and further cultured in StemSpan™ SFEM medium for another 14 days to confirm the long term effect o alemtuzumab	 	no_rel
nicotine addiction	 Nicotine	 Nicotine replacement therapies (NRT) are powerful tools for the successful treatment of nicotine addiction and tobacco use.	 Nicotine replacement therapies (NRT) are powerful tools for the successful treatment of nicotine addiction	 causative_agent_of	no
type 2 diabetes	 insulin	 Study the effects of exenatide (EXE) plus rosiglitazone (ROSI) on β-cell function and insulin sensitivity using hyperglycemic and euglycemic insulin clamp techniques in participants with type 2 diabetes on metformin.	 insulin  clamp techniques in participants withtype 2 diabetes	 may_treat	yes
tumor	 rituximab	 After failing a first tumor necrosis factor blocker, patients have several treatment options - starting a second tumor necrosis factor blocker, or rituximab or abatacept - but no formal randomized studies are available to indicate what is the optimal strategy.	tumor  necrosis factor blocker, or  rituximab	 	no_rel
adiposity	 lipids	 Markers of glucose control, including oral glucose tolerance test, glycated hemoglobin and urinary glucose, were measured as well as adiposity and the accumulation of liver lipids.	adiposity  and the accumulation of liver  lipids	 	no_rel
chronic hepatitis C	 HCV	 PD-1 level on peripheral CD8+ TEM/TEMRA was highly correlated with HCV viral load in chronic HCV-infected patients, which made PD-1 a novel indicator to evaluate HCV replication and disease progression in chronic hepatitis C patients.	 HCV viral load in chronic HCV-infected patients, which made PD-1 a novel indicator to evaluate HCV replication and disease progression in chronic hepatitis C	 causative_agent_of	no
malaria	 pyrimethamine	 Monthly artesunate plus amodiaquine reduced the incidence of malaria by 69% (95% CI 63%, 74%) and anaemia by 45% (95% CI 25%,60%), bimonthly sulphadoxine-pyrimethamine reduced the incidence of malaria by 24% (95% CI 14%,33%) and anaemia by 30% (95% CI 6%, 49%) and bimonthly artesunate plus amodiaquine reduced the incidence of malaria by 17% (95% CI 6%, 27%) and anaemia by 32% (95% CI 7%, 50%) compared to placebo.	 pyrimethamine duced the incidence of malaria by 24% (95% CI 14%,33%) and anaemia by 30% (95% CI 6%, 49%) and bimonthly artesunate plus amodiaquine reduced the incidence of malamalaria	 may_prevent	yes
tumor	 cisplatin	 Background Liposomal cisplatin is a new formulation developed to reduce the systemic toxicity of cisplatin while simultaneously improving the targeting of the drug to the primary tumor and to metastases by increasing circulation time in the body fluids and tissues.	 cisplatin hile simultaneously improving the targeting of the drug to the primary ttumor	 	no_rel
abdominal pain	 NSAID	 Upper GI effects of non-selective NSAID treatment, ranging from abdominal pain to ulceration and bleeding are extensively documented.	 NSAID treatment, ranging from abdominal pain	 	no_rel
melanoma	 F-	 In cultured melanoma cells, FMNL2 co-localizes with F-actin dots at the tips of cellular protrusions.	melanoma  cells, FMNL2 co-localizes with  F-	 	no_rel
bacterial infection	 bacteria 	 We tested the hypothesis that extracts from Haudenosaunee medicinal plants used to treat symptoms often caused by bacterial infection would show antibacterial properties in laboratory assays, and that these extracts would be more effective against moderately virulent bacteria than less virulent bacteria.	bacterial infection  would show antibacterial properties in laboratory assays, and that these extracts would be more effective against moderately virulent  bacteria 	 causative_agent_of	no
schizophrenia	 olanzapine	" Outpatients with schizophrenia who had maintained stability on open-label oral olanzapine for 4 to 8 weeks were randomly assigned to ""low"" (150 mg/2 weeks; N = 140), ""medium"" (405 mg/4 weeks; N = 318), or ""high"" (300 mg/2 weeks; N = 141) dosages of olanzapine LAI for 24 weeks."	"schizophrenia  who had maintained stability on open-label oral olanzapine for 4 to 8 weeks were randomly assigned to ""low"" (150 mg/2 weeks; N = 140), ""medium"" (405 mg/4 weeks; N = 318), or ""high"" (300 mg/2 weeks; N = 141) dosages of  olanzapine"	 may_treat	yes
impaired glucose tolerance	 albumin	 RESEARCH DESIGN AND METHODS —A total of 3,188 Diabetes Prevention Program (DPP) participants with a mean BMI of 34 kg/m2 and elevated fasting glucose, impaired glucose tolerance, and baseline urinary albumin excretion measurements were followed for incident diabetes over a mean of 3.2 years.	impaired glucose tolerance ce, and baseline urinar albumin	 	no_rel
APL	 trans retinoic acid	 All- trans retinoic acid (ATRA)/anthracycline chemotherapy is beneficial in newly diagnosed acute promyelocytic leukemia (APL); however, it is important to identify patients with high-risk disease to increase the cure rate.	 trans retinoic acid (ATRA)/anthracycline chemotherapy is beneficial in newly diagnosed acute promyelocytic leukemia (APL	 may_treat	yes
gold	 fibrosis	 The gold standard of assessing liver fibrosis is liver biopsy, which is invasive and not without risk.	gold  standard of assessing liver  fibrosis	 	no_rel
Diabetic retinopathy	 diabetes mellitus	 Diabetic retinopathy is a serious long-term complication of diabetes mellitus.	Diabetic retinopathy  is a serious long-term complication of  diabetes mellitus	 cause_of	no
inflammation	 enzyme	 The tumor suppressor CYLD is a deubiquitinating enzyme that inhibits activation of the NF- κ B, which has key roles in inflammation and apoptosis.	 enzyme that inhibits activation of the NF- κ B, which has key roles ininflammation	 	no_rel
mycosis	 Itraconazole	 Itraconazole is an anti-fungal agent widely used to treat various forms of mycosis.	 Itraconazole is an anti-fungal agent widely used to treat various forms of mycosis	 may_treat	yes
STS	 tumor	 In addition, using a Cox's proportional hazards regression model, we found that an elevated OPN protein level in the serum and tumor tissue extracts is a significant negative prognostic factor for patients with STS.	 tumor tissue extracts is a significant negative prognostic factor for patients with STS	 	no_rel
TB	 BCG	 Efficient control of tuberculosis (TB) requires development of strategies that can enhance efficacy of the existing vaccine Mycobacterium bovis Bacille Calmette Guerin (BCG).	TB ) requires development of strategies that can enhance efficacy of the existing vaccine Mycobacterium bovis Bacille Calmette Guerin ( BCG	 contraindicated_with_disease	no
leukopenia	 Azathioprine	 Azathioprine has equivalent efficacy as a maintenance agent to cyclophosphamide with fewer episodes of leukopenia.	 Azathioprine has equivalent efficacy as a maintenance agent to cyclophosphamide with fewer episodes of leukopenia	 	no_rel
vitamin A deficiency	 vitamin A	 A higher subclinical vitamin A deficiency was associated with not receiving vitamin A supplement over the year, having been ill during the two weeks preceding the survey, no or incomplete vaccination, belonging to a mother with high parity, and low levels of awareness of vitamin A. Moreover, being from Muslim household was strongly associated with higher levels of subclinical vitamin A deficiency.	 vitamin A Moreover, being from Muslim household was strongly associated with higher levels of subclinical vvitamin A deficiency	 may_treat	yes
cancer	 estrogens	 Associations of serum estrogens and androgens with breast cancer risk in premenopausal women are less well studied.	 estrogens and androgens with breast cancer	 	no_rel
AIDS	 HIV	 The MDG 4 and 6 call for a reduction of child mortality by two-thirds and combating malaria, HIV/AIDS, TB, and other diseases, respectively.	 HIV AIDS	 causative_agent_of	no
cancer	 cisplatin	 Moreover, our study also showed that the p53-targeting siRNA cooperated with cisplatin in the inhibition of bladder cancer cells.	 cisplatin in the inhibition of bladder cancer	 	no_rel
